age,pages,first_item_prize,gender,ReBuy,News_click,country,revenue
9254,36.0,6.0,10.0,Masc,False,3.0,Ghana,14.0
1561,36.0,6.0,22.0,Masc,True,4.0,Bangladesh,66.0
1670,38.0,3.0,44.0,Fem,False,3.0,Russia,74.0
6087,36.0,4.0,15.5,Masc,False,10.0,Argentina,116.0
6669,40.0,4.0,15.5,Fem,False,7.0,Sudan,36.0
5933,48.0,6.0,42.0,Fem,True,2.0,Kenya,44.0
8829,39.0,6.0,22.0,Fem,True,4.0,Afghanistan,239.0
7945,48.0,6.0,28.0,Fem,False,8.0,Uzbekistan,171.0
3508,31.0,7.0,28.0,Fem,False,4.0,Turkey,97.0
2002,45.0,6.0,44.0,Fem,False,6.0,Mexico,156.0
5866,42.0,6.0,22.0,Fem,False,7.0,Kenya,42.0
168,35.0,7.0,44.0,Masc,True,5.0,China,157.0
2588,40.0,7.0,10.0,Fem,False,0.0,Vietnam,3.0
5905,41.0,6.0,44.0,Fem,False,4.0,Kenya,99.0
9529,52.0,9.0,28.0,Fem,False,2.0,Mozambique,112.0
6384,34.0,5.0,42.0,Fem,True,4.0,Algeria,129.0
7824,41.0,6.0,42.0,Fem,False,4.0,Uzbekistan,102.0
9779,27.0,5.0,28.0,Fem,False,6.0,Australia,287.0
4629,43.0,5.0,15.5,Fem,False,1.0,South Africa,59.0
8560,35.0,9.0,44.0,Masc,False,5.0,Venezuela,121.0
9291,38.0,3.0,44.0,Masc,False,10.0,Ghana,37.0
6874,25.0,7.0,15.5,Masc,False,3.0,Uganda,64.0
6521,47.0,4.0,28.0,Masc,False,7.0,Poland,97.0
8979,43.0,4.0,22.0,Fem,False,5.0,Afghanistan,229.0
6647,27.0,6.0,44.0,Fem,False,4.0,Sudan,74.0
9825,49.0,4.0,44.0,Fem,True,1.0,Taiwan,130.0
210,35.0,5.0,42.0,Fem,False,9.0,India,160.0
5278,43.0,6.0,57.0,Fem,False,2.0,Spain,115.0
1919,28.0,7.0,28.0,Masc,False,2.0,Japan,90.0
718,47.0,5.0,57.0,Masc,False,4.0,Indonesia,38.0
4868,48.0,4.0,44.0,Fem,True,5.0,South Korea,234.0
